Time,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Water Reservoir,Nuclear,Other,Waste,Renewable
2025-01-03 05:15:00,373.57,,,,1886.14,,111.89,,,,204.41,1865.96,47545.46,,308.71,10651.61
2025-01-03 05:30:00,373.12,,,,1889.68,,111.93,,,,196.94,1890.54,47511.71,,307.43,10785.48
2025-01-03 05:45:00,373.52,,,,1888.83,,111.69,,,,196.34,1902.82,47444.27,,307.78,10887.59
2025-01-03 06:00:00,372.59,,,,2008.36,,111.44,,,,198.29,2262.17,47259.24,,307.2,11066.169999999998
2025-01-03 06:15:00,373.11,,,,2225.66,,111.42,,,,198.37,2546.22,47256.68,,312.23,11085.57
2025-01-03 06:30:00,374.63,,,,2341.66,,111.66,,,,458.26,2760.09,47235.31,,327.08,11144.59
2025-01-03 06:45:00,374.12,,,,2352.49,,111.56,,,,887.61,2791.37,47213.84,,328.77,11261.19
2025-01-03 07:00:00,374.07,,,,2394.4,,111.81,,,,1154.86,3068.51,47251.84,,329.37,11845.830000000002
2025-01-03 07:15:00,372.07,,,,2396.31,,111.88,,,,1211.27,3292.28,47394.25,,329.14,12023.49
2025-01-03 07:30:00,373.1,,,,2398.71,,111.86,,,,1110.92,3257.43,47544.81,,328.37,12279.71
2025-01-03 07:45:00,373.27,,,,2398.67,,111.97,,,,1115.47,3285.84,47569.52,,327.75,12449.07
2025-01-03 08:00:00,372.77,,,,2398.31,,111.84,,,,1303.79,3590.0,47574.11,,324.94,12930.7
2025-01-03 08:15:00,374.92,,,,2399.15,,111.54,,,,1292.62,3610.6,47573.64,,323.26,13616.42
2025-01-03 08:30:00,376.44,,,,2405.1,,111.14,,,,1267.7,3542.98,47585.67,,326.44,14364.300000000001
2025-01-03 08:45:00,374.19,,,,2399.46,,111.11,,,,1258.31,3520.12,47562.95,,327.92,15121.529999999999
2025-01-03 09:00:00,374.83,,,,2350.65,,111.26,,,,1279.82,3199.33,47552.85,,328.13,15812.72
2025-01-03 09:15:00,374.87,,,,2172.81,,111.51,,,,1199.73,3059.75,47535.1,,328.01,16843.24
2025-01-03 09:30:00,373.7,,,,2044.73,,111.46,,,,936.17,2868.61,47443.3,,326.85,17805.6
