"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2024 11:15 - 03/01/2024 11:30","BZN|BE","10586.47","10873.23"
"03/01/2024 11:30 - 03/01/2024 11:45","BZN|BE","10671.22","10945.44"
"03/01/2024 11:45 - 03/01/2024 12:00","BZN|BE","10769.37","10994.26"
"03/01/2024 12:00 - 03/01/2024 12:15","BZN|BE","10742.93","10919.40"
"03/01/2024 12:15 - 03/01/2024 12:30","BZN|BE","10556.45","10834.28"
"03/01/2024 12:30 - 03/01/2024 12:45","BZN|BE","10642.94","10826.48"
"03/01/2024 12:45 - 03/01/2024 13:00","BZN|BE","10548.88","10800.07"
"03/01/2024 13:00 - 03/01/2024 13:15","BZN|BE","10617.89","10826.15"
"03/01/2024 13:15 - 03/01/2024 13:30","BZN|BE","10571.73","10754.17"
"03/01/2024 13:30 - 03/01/2024 13:45","BZN|BE","10575.44","10745.45"
"03/01/2024 13:45 - 03/01/2024 14:00","BZN|BE","10519.96","10681.33"
"03/01/2024 14:00 - 03/01/2024 14:15","BZN|BE","10456.54","10605.85"
"03/01/2024 14:15 - 03/01/2024 14:30","BZN|BE","10463.93","10582.53"
"03/01/2024 14:30 - 03/01/2024 14:45","BZN|BE","10386.91","10569.15"
"03/01/2024 14:45 - 03/01/2024 15:00","BZN|BE","10294.35","10568.20"
"03/01/2024 15:00 - 03/01/2024 15:15","BZN|BE","10445.84","10576.94"
"03/01/2024 15:15 - 03/01/2024 15:30","BZN|BE","10397.42","10555.07"
"03/01/2024 15:30 - 03/01/2024 15:45","BZN|BE","10460.08","10549.38"
"03/01/2024 15:45 - 03/01/2024 16:00","BZN|BE","10435.79","10547.69"
"03/01/2024 16:00 - 03/01/2024 16:15","BZN|BE","10318.76","10533.27"
"03/01/2024 16:15 - 03/01/2024 16:30","BZN|BE","10358.98","10562.56"
"03/01/2024 16:30 - 03/01/2024 16:45","BZN|BE","10441.61","10633.90"
"03/01/2024 16:45 - 03/01/2024 17:00","BZN|BE","10550.41","10801.54"
"03/01/2024 17:00 - 03/01/2024 17:15","BZN|BE","10668.91","10992.09"
"03/01/2024 17:15 - 03/01/2024 17:30","BZN|BE","10813.48","11063.69"
"03/01/2024 17:30 - 03/01/2024 17:45","BZN|BE","10963.97","11140.13"
"03/01/2024 17:45 - 03/01/2024 18:00","BZN|BE","11085.98","11186.78"
"03/01/2024 18:00 - 03/01/2024 18:15","BZN|BE","11123.16","11198.56"
"03/01/2024 18:15 - 03/01/2024 18:30","BZN|BE","11055.07","11152.76"
"03/01/2024 18:30 - 03/01/2024 18:45","BZN|BE","10878.85","11112.36"
"03/01/2024 18:45 - 03/01/2024 19:00","BZN|BE","10810.52","11027.83"
"03/01/2024 19:00 - 03/01/2024 19:15","BZN|BE","10657.70","10913.13"
"03/01/2024 19:15 - 03/01/2024 19:30","BZN|BE","10523.76","10792.16"
"03/01/2024 19:30 - 03/01/2024 19:45","BZN|BE","10304.47","10668.82"
