"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"12/01/2024 06:00 - 12/01/2024 07:00","BZN|FR","72886.00","71300.00"
"12/01/2024 07:00 - 12/01/2024 08:00","BZN|FR","77833.00","76800.00"
"12/01/2024 08:00 - 12/01/2024 09:00","BZN|FR","80173.00","79500.00"
"12/01/2024 09:00 - 12/01/2024 10:00","BZN|FR","80469.00","80550.00"
"12/01/2024 10:00 - 12/01/2024 11:00","BZN|FR","80220.00","80300.00"
"12/01/2024 11:00 - 12/01/2024 12:00","BZN|FR","80094.00","79200.00"
"12/01/2024 12:00 - 12/01/2024 13:00","BZN|FR","78846.00","77650.00"
"12/01/2024 13:00 - 12/01/2024 14:00","BZN|FR","76501.00","74450.00"
"12/01/2024 14:00 - 12/01/2024 15:00","BZN|FR","75251.00","73100.00"
"12/01/2024 15:00 - 12/01/2024 16:00","BZN|FR","73674.00","70900.00"
"12/01/2024 16:00 - 12/01/2024 17:00","BZN|FR","72331.00","69500.00"
"12/01/2024 17:00 - 12/01/2024 18:00","BZN|FR","74841.00","71300.00"
"12/01/2024 18:00 - 12/01/2024 19:00","BZN|FR","78360.00","75900.00"
"12/01/2024 19:00 - 12/01/2024 20:00","BZN|FR","78340.00","77550.00"
"12/01/2024 20:00 - 12/01/2024 21:00","BZN|FR","75375.00","75200.00"
"12/01/2024 21:00 - 12/01/2024 22:00","BZN|FR","72591.00","72550.00"
"12/01/2024 22:00 - 12/01/2024 23:00","BZN|FR","73107.00","71450.00"
"12/01/2024 23:00 - 13/01/2024 00:00","BZN|FR","73010.00","73050.00"
"13/01/2024 00:00 - 13/01/2024 01:00","BZN|FR","70607.00","70900.00"
"13/01/2024 01:00 - 13/01/2024 02:00","BZN|FR","69430.00","68750.00"
"13/01/2024 02:00 - 13/01/2024 03:00","BZN|FR","68581.00","68400.00"
"13/01/2024 03:00 - 13/01/2024 04:00","BZN|FR","66039.00","65400.00"
"13/01/2024 04:00 - 13/01/2024 05:00","BZN|FR","64534.00","63650.00"
"13/01/2024 05:00 - 13/01/2024 06:00","BZN|FR","65072.00","63900.00"
"13/01/2024 06:00 - 13/01/2024 07:00","BZN|FR","66628.00","65600.00"
"13/01/2024 07:00 - 13/01/2024 08:00","BZN|FR","68978.00","67950.00"
"13/01/2024 08:00 - 13/01/2024 09:00","BZN|FR","71783.00","70650.00"
"13/01/2024 09:00 - 13/01/2024 10:00","BZN|FR","74716.00","73000.00"
"13/01/2024 10:00 - 13/01/2024 11:00","BZN|FR","76364.00","74450.00"
"13/01/2024 11:00 - 13/01/2024 12:00","BZN|FR","77084.00","74650.00"
"13/01/2024 12:00 - 13/01/2024 13:00","BZN|FR","76879.00","74200.00"
"13/01/2024 13:00 - 13/01/2024 14:00","BZN|FR","74100.00","70700.00"
"13/01/2024 14:00 - 13/01/2024 15:00","BZN|FR","72326.00","68300.00"
"13/01/2024 15:00 - 13/01/2024 16:00","BZN|FR","70988.00","66350.00"
"13/01/2024 16:00 - 13/01/2024 17:00","BZN|FR","69759.00","65450.00"
"13/01/2024 17:00 - 13/01/2024 18:00","BZN|FR","71930.00","67450.00"
"13/01/2024 18:00 - 13/01/2024 19:00","BZN|FR","75694.00","72050.00"
"13/01/2024 19:00 - 13/01/2024 20:00","BZN|FR","76579.00","74400.00"
"13/01/2024 20:00 - 13/01/2024 21:00","BZN|FR","74367.00","72350.00"
"13/01/2024 21:00 - 13/01/2024 22:00","BZN|FR","71869.00","69850.00"
"13/01/2024 22:00 - 13/01/2024 23:00","BZN|FR","72597.00","69000.00"
"13/01/2024 23:00 - 14/01/2024 00:00","BZN|FR","72808.00","71300.00"
"14/01/2024 00:00 - 14/01/2024 01:00","BZN|FR","70655.00","70700.00"
